CountryCode,Year,Week,Sex,0-14,15-64,65-74,75-84,85+,Total,0-14,15-64,65-74,75-84,85+,Total,Split,SplitSex,Forecast
DEUTNP,2000,17,b,111.941335482772,3047.05866451723,3186,4240,5033,15618,0.000457644079374822,0.00287069471230566,0.0217522834731099,0.0524728326121638,0.166398312895892,0.00998876109946307,1,0,0
DEUTNP,2000,18,m,64.6956302157235,2184.30436978428,1836,1760,1266,7111,0.000515812107652589,0.00406772392737289,0.0279690465182557,0.0689640903634849,0.184218964353454,0.0093510913331749,1,0,0
DEUTNP,2000,18,f,46.0562446934084,941.943755306592,1146,2432,3465,8031,0.000386447002308168,0.0017960548114312,0.0141790647032847,0.0439916722356324,0.148238818473706,0.00999985971489864,1,0,0
DEUTNP,2000,18,b,110.751874909132,3126.24812509087,2982,4192,4731,15142,0.000452781268092212,0.00294530068178906,0.020359481894794,0.0518788005448563,0.156413752892999,0.00968432709489498,1,0,0
DEUTNP,2000,19,m,57.5072268584209,2129.49277314158,1938,1751,1265,7141,0.000458499651246746,0.00396565095336559,0.0295228824359366,0.0686114330832171,0.18407345174338,0.00939054186615131,1,0,0
DEUTNP,2000,19,f,42.4740923283656,1031.52590767163,1214,2409,3546,8243,0.000356390013239755,0.00196686591864135,0.0150204053663068,0.0435756325722197,0.151704141502961,0.0102638331004743,1,0,0
DEUTNP,2000,19,b,99.9813191867865,3161.01868081321,3152,4160,4811,15384,0.0004087485518784,0.0029780587155015,0.0215201498767239,0.0514827791666512,0.159058669450057,0.00983910236612498,1,0,0
DEUTNP,2000,20,m,58.8764465455262,2235.12355345447,1937,1671,1264,7166,0.000469416309609764,0.0041623620246291,0.0295076487504692,0.0654767017030587,0.183927939133306,0.00942341731029832,1,0,0
DEUTNP,2000,20,f,45.5445086412595,1003.45549135874,1260,2376,3460,8145,0.000382153146726966,0.00191334254636607,0.0155895475795276,0.0429787060986277,0.148024909644739,0.0101418076675195,1,0,0
DEUTNP,2000,20,b,104.420955186786,3238.57904481321,3197,4047,4724,15311,0.0004268988903679,0.00305112988062611,0.0218273855189994,0.0500843286748648,0.156182322694257,0.00979241395786138,1,0,0
DEUTNP,2000,21,m,53.3995677971051,2044.60043220289,1891,1712,1199,6900,0.000425749676157693,0.003807560070399,0.028806899218966,0.0670832515353899,0.174469619478508,0.00907362258457415,1,0,0
DEUTNP,2000,21,f,40.9388841719186,944.061115828081,1179,2360,3246,7770,0.000343508446496149,0.00180009209659896,0.0145873623779866,0.0426892872023406,0.138869611764978,0.00967487361284553,1,0,0
DEUTNP,2000,21,b,94.3384519690237,2988.66154803097,3070,4072,4445,14670,0.000385679104280959,0.00281567762469158,0.0209602982619106,0.0503937203765875,0.146958176201518,0.00938245135927284,1,0,0
DEUTNP,2000,22,m,62.6418006850656,2159.35819931493,1926,1668,1275,7091,0.000499437120108063,0.00402126788584398,0.0293400782103271,0.0653591492763027,0.185528577844118,0.00932479097785729,1,0,0
DEUTNP,2000,22,f,47.0797167977064,1045.92028320229,1162,2406,3519,8180,0.000395034713470571,0.00199431244852568,0.014377027212231,0.0435213665291659,0.150549033826542,0.0101853881792891,1,0,0
DEUTNP,2000,22,b,109.721517482772,3205.27848251722,3088,4074,4794,15271,0.000448568910130072,0.0030197567570256,0.0210831925188209,0.0504184717127253,0.158496624681682,0.00976683126840188,1,0,0
DEUTNP,2000,23,m,56.8226170148683,2133.17738298513,1986,1818,1241,7235,0.000453041322065237,0.00397251262330088,0.0302540993383747,0.0712367706140997,0.180581149101609,0.00951415353614406,1,0,0
DEUTNP,2000,23,f,41.4506202240676,1031.54937977593,1217,2333,3434,8057,0.000347802302077351,0.00196691067416483,0.0150575233367342,0.0422008928148562,0.146912583734114,0.010032233809356,1,0,0
DEUTNP,2000,23,b,98.2732372389359,3164.72676276106,3203,4151,4675,15292,0.000401765487158388,0.00298155217342683,0.0218683502713029,0.0513713981540311,0.154562311303059,0.00978026218036812,1,0,0
DEUTNP,2000,24,m,68.460984355263,2077.53901564474,1915,1650,1219,6930,0.000545832918150888,0.00386889999438285,0.0291725076701851,0.0646538347157671,0.177379871679985,0.00911307311755056,1,0,0
DEUTNP,2000,24,f,36.8449957547268,955.155004245273,1179,2314,3280,7765,0.000309157601846534,0.00182124541021978,0.0145873623779866,0.0418572078755153,0.140324191801949,0.00966864782544987,1,0,0
DEUTNP,2000,24,b,105.30598010999,3032.69401989001,3094,3964,4499,14695,0.000430517092834904,0.00285716149423681,0.0211241572711243,0.0490571482251456,0.148743494877532,0.00939844054018503,1,0,0
DEUTNP,2000,25,m,61.2725809979604,2215.72741900204,1947,1891,1311,7426,0.000488520461745045,0.00412624154558685,0.0296599856051438,0.0740972129984943,0.190767031806776,0.0097653219294272,1,0,0
DEUTNP,2000,25,f,35.3097875982798,1074.69021240172,1235,2485,3693,8523,0.000296276035102929,0.00204916961963814,0.0152802311592989,0.0449503723295832,0.157993061074573,0.0106124771946309,1,0,0
DEUTNP,2000,25,b,96.5823685962402,3290.41763140376,3182,4376,5004,15949,0.000394852794720041,0.00309996804647825,0.0217249736382409,0.0541559234695351,0.165439530643959,0.0102004578547405,1,0,0
DEUTNP,2000,26,m,54.7687874842104,2022.23121251579,1860,1650,1210,6797,0.00043666633452071,0.00376590295913896,0.0283346549694748,0.0646538347157671,0.17607025818932,0.00893817575468848,1,0,0
DEUTNP,2000,26,f,43.4975644326635,949.502435567337,1128,2387,3244,7752,0.000364977724402158,0.0018104673535537,0.01395635688072,0.043177681589825,0.138784048233391,0.00965246077822117,1,0,0
DEUTNP,2000,26,b,98.2663519168739,2971.73364808313,2988,4037,4454,14549,0.000401737338245721,0.00279972951268553,0.0204004466470974,0.0499605719941757,0.147255729314187,0.00930506372365784,1,0,0
DEUTNP,2000,27,m,57.8495317801972,2058.1504682198,1799,1745,1230,6890,0.0004612288158375,0.00383279364429337,0.0274054001559597,0.0683763282297052,0.178980510390797,0.00906047240691535,1,0,0
DEUTNP,2000,27,f,38.3802039111737,997.619796088826,1110,2278,3328,7752,0.00032203916859014,0.0019022153123794,0.0137336490581553,0.0412060153588695,0.142377716560027,0.00965246077822117,1,0,0
DEUTNP,2000,27,b,96.2297356913709,3055.77026430863,2909,4023,4558,14642,0.000393411143515772,0.00287890208413874,0.0198610774084358,0.049787312641211,0.150694120838362,0.00936454347665119,1,0,0
DEUTNP,2000,28,m,53.3995677971051,2009.60043220289,1850,1667,1159,6739,0.000425749676157693,0.00374238127049022,0.0281823181148002,0.0653199651340508,0.168649115075556,0.00886190472426742,1,0,0
DEUTNP,2000,28,f,41.9623562762166,1011.03764372378,1126,2277,3247,7703,0.000352096157658553,0.00192779984401205,0.0139316115671017,0.0411879266778515,0.138912393530771,0.00959144806174377,1,0,0
DEUTNP,2000,28,b,95.3619240733217,3020.63807592667,2976,3944,4406,14442,0.000389863313330433,0.00284580334908836,0.0203185171424906,0.0488096348637674,0.145668779379952,0.00923663002935367,1,0,0
DEUTNP,2000,29,m,59.5610563890788,2137.43894361092,1920,1604,1231,6952,0.000474874638791273,0.00398044872065309,0.0292486760975223,0.062851364172176,0.17912602300087,0.00914200350839993,1,0,0
DEUTNP,2000,29,f,40.9388841719186,949.061115828081,1121,2384,3290,7785,0.000343508446496149,0.00180962586547482,0.0138697482830559,0.0431234155467712,0.140752009459882,0.00969355097503249,1,0,0
DEUTNP,2000,29,b,100.499940560997,3086.500059439,3041,3988,4521,14737,0.000410868805315803,0.00290785323674314,0.0207623019591108,0.0493541642587993,0.149470846930723,0.00942530236411751,1,0,0
DEUTNP,2000,30,m,55.1110924059867,2050.88890759401,1918,1717,1248,6989,0.000439395499111465,0.00381927079266326,0.0292182087265874,0.0672791722466498,0.181599737372125,0.0091906591657375,1,0,0
DEUTNP,2000,30,f,38.8919399633227,993.108060036677,1192,2329,3394,7947,0.000326333024171342,0.00189361254262938,0.0147482069165055,0.0421285380907844,0.145201313102383,0.00989526648665166,1,0,0
DEUTNP,2000,30,b,94.0030323693094,3043.99696763069,3110,4046,4642,14936,0.000384307825358356,0.00286781022663257,0.0212333966106,0.0500719530067959,0.153471283223273,0.00955257624417854,1,0,0
DEUTNP,2000,31,m,55.1110924059867,2094.88890759401,1905,1744,1206,7005,0.000439395499111465,0.00390120985540573,0.0290201708155105,0.0683371440874532,0.175488207749025,0.00921169944999159,1,0,0
DEUTNP,2000,31,f,33.7745794418329,923.225420558167,1175,2384,3439,7955,0.000283394468359323,0.0017603635559847,0.01453787175075,0.0431234155467712,0.14712649256308,0.00990522774648471,1,0,0
DEUTNP,2000,31,b,88.8856718478196,3018.11432815218,3080,4128,4645,14960,0.000363386780110985,0.00284342567599798,0.021028572849083,0.0510867577884462,0.153570467594162,0.00956792585785424,1,0,0
DEUTNP,2000,32,m,60.5879711544078,2068.41202884559,1858,1697,1208,6892,0.000483062132563536,0.00385190325020137,0.0283041875985399,0.0664954894016102,0.175779232969173,0.00906310244244711,1,0,0
DEUTNP,2000,32,f,35.3097875982798,969.69021240172,1191,2320,3327,7843,0.000296276035102929,0.00184896047324501,0.0147358342596964,0.041965739961623,0.142334934794233,0.00976577010882207,1,0,0
DEUTNP,2000,32,b,95.8977587526876,3038.10224124731,3049,4017,4535,14735,0.000392053939049502,0.00286225668739281,0.0208169216288487,0.0497130586327976,0.149933707328208,0.00942402322964453,1,0,0
DEUTNP,2000,33,m,51.6880431882236,2115.31195681178,1909,1794,1313,7183,0.00041210385320392,0.00393924270793407,0.0290811055573803,0.0702963512000522,0.191058057026924,0.00944577261231828,1,0,0
DEUTNP,2000,33,f,38.8919399633227,1041.10806003668,1211,2501,3528,8320,0.000326333024171342,0.00198513672383767,0.0149832873958793,0.0452397912258703,0.150934069718682,0.0103597102263674,1,0,0
DEUTNP,2000,33,b,90.5799831515463,3156.42001684846,3120,4295,4841,15503,0.000370313547005665,0.00297372622250391,0.0213016711977724,0.0531534943559536,0.160050513158954,0.009915210867267,1,0,0
DEUTNP,2000,34,m,54.4264825624341,1990.57351743757,1783,1611,1133,6572,0.000433937169929956,0.00370694837133676,0.0271616611884804,0.0631256531679399,0.164865787213636,0.00864229675736541,1,0,0
DEUTNP,2000,34,f,47.5914528498554,990.408547150145,1161,2190,3207,7596,0.000399328569051773,0.00188846523624186,0.0143646545554219,0.0396142114292907,0.13720112289904,0.00945821621147679,1,0,0
DEUTNP,2000,34,b,102.01793541229,2980.98206458771,2944,3801,4340,14168,0.00041707474660835,0.00280844263024578,0.0201000384635391,0.0470399143299138,0.14348672322038,0.00906138860655607,1,0,0
DEUTNP,2000,35,m,58.1918367019735,2054.80816329803,1792,1697,1203,6805,0.000463957980428255,0.00382656943218678,0.0272987643576875,0.0664954894016102,0.175051669918804,0.00894869589681552,1,0,0
DEUTNP,2000,35,f,44.5210365369615,990.478963463039,1145,2247,3240,7667,0.000373565435564562,0.0018885995028123,0.0141666920464755,0.0406452662473133,0.138612921170218,0.00954662239249507,1,0,0
DEUTNP,2000,35,b,102.712873238935,3045.28712676107,2937,3944,4443,14472,0.000419915825647887,0.00286902571126919,0.0200522462525184,0.0488096348637674,0.146892053287592,0.0092558170464483,1,0,0
DEUTNP,2000,36,m,60.2456662326314,2137.75433376737,1791,1731,1262,6982,0.000480332967972781,0.00398103605642167,0.0272835306722201,0.0678277502381775,0.183636913913159,0.00918145404137634,1,0,0
DEUTNP,2000,36,f,37.3567318068757,1038.64326819312,1117,2390,3251,7834,0.000313451457427736,0.00198043697268496,0.0138202576558193,0.0432319476328788,0.139083520593944,0.00975456369150989,1,0,0
